1,3,Никифорова Весения Николаевна,94d5ous@gmail.com,uzWC67
2,3,Сазонов Руслан Германович,uth4iz@mail.com,2L6KZG
3,3,Одинцов Серафим Артёмович,yzls62@outlook.com,JlFRCZ
4,2,Степанов Михаил Артёмович,1diph5e@tutanota.com,8ntwUp
5,2,Ворсин Петр Евгеньевич,tjde7c@yahoo.com,YOyhfR
6,2,Старикова Елена Павловна,wpmrc3do@tutanota.com,RSbvHv
7,1,Михайлюк Анна Вячеславовна,5d4zbu@tutanota.com,rwVDh9
8,1,Ситдикова Елена Анатольевна,ptec8ym@yahoo.com,LdNyos
9,1,Ворсин Петр Евгеньевич,1qz4kw@mail.com,gynQMT
10,1,Старикова Елена Павловна,4np6se@mail.com,AtnDjr
